City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
118,Valley City,US,46.9233,-98.0032,-8.88,64,0,21.85,clear sky
119,Port Blair,IN,11.6667,92.75,78.84,78,40,2.3,mist
120,Ginir,ET,7.1333,40.7,63.12,31,96,4.74,overcast clouds
121,Itaituba,BR,-4.2761,-55.9836,87.96,62,75,5.75,broken clouds
122,Quibdo,CO,5.6947,-76.6611,84.54,74,75,5.75,broken clouds
123,Ewa Beach,US,21.3156,-158.0072,78.01,73,0,4.61,clear sky
124,Ancud,CL,-41.8697,-73.8203,64.58,67,2,7.45,clear sky
125,Mount Pleasant,US,32.7941,-79.8626,57.0,96,100,5.99,mist
126,Thompson,CA,55.7435,-97.8558,-23.64,62,0,10.36,clear sky
127,Luderitz,NA,-26.6481,15.1594,68.81,57,7,23.55,clear sky
128,Mezen,RU,65.8522,44.24,16.61,96,92,5.82,overcast clouds
129,Puerto Ayora,EC,-0.7393,-90.3518,85.96,88,100,8.01,light rain
130,Poya,NC,-21.35,165.15,75.7,81,96,5.84,overcast clouds
131,Abeche,TD,13.8292,20.8324,78.69,16,24,9.62,few clouds
132,Sayaxche,GT,16.5167,-90.1667,86.36,44,10,2.62,clear sky
133,Byron Bay,AU,-28.65,153.6167,71.94,93,16,3.31,few clouds
134,Torbay,CA,47.6666,-52.7314,20.57,66,40,17.27,scattered clouds
135,Codrington,AU,-38.2667,141.9667,50.31,86,100,24.63,light rain
136,Harnosand,SE,62.6323,17.9379,10.4,85,10,6.6,clear sky
137,Half Moon Bay,US,37.4636,-122.4286,54.88,64,0,5.75,clear sky
138,Pangnirtung,CA,66.1451,-65.7125,-18.4,69,100,2.3,light snow
139,Bandarbeyla,SO,9.4942,50.8122,75.52,66,0,15.9,clear sky
140,Umm Kaddadah,SD,13.6017,26.6876,65.68,22,25,14.79,scattered clouds
141,Plettenberg Bay,ZA,-34.0527,23.3716,66.6,83,58,2.62,broken clouds
142,Cidreira,BR,-30.1811,-50.2056,80.08,73,100,12.73,overcast clouds
143,Moree,AU,-29.4667,149.85,73.8,60,0,2.66,clear sky
144,Butaritari,KI,3.0707,172.7902,80.49,78,100,18.41,light rain
145,Dengzhou,CN,37.8086,120.7508,29.16,48,85,2.68,overcast clouds
146,Bethel,US,41.3712,-73.414,39.54,41,0,11.5,clear sky
147,Bambanglipuro,ID,-7.95,110.2833,74.5,94,100,4.45,light rain
148,Alofi,NU,-19.0595,-169.9187,73.29,94,100,3.44,light intensity drizzle
149,Khandwa,IN,21.8333,76.3333,62.92,19,98,5.39,overcast clouds
150,Matamoros,MX,25.5333,-103.25,64.51,44,75,19.57,dust
151,Saint-Augustin,CA,51.226,-58.6502,3.43,80,100,2.98,overcast clouds
152,Pevek,RU,69.7008,170.3133,-12.57,100,87,2.17,overcast clouds
153,Biltine,TD,14.5333,20.9167,79.11,14,11,16.64,few clouds
154,Sovetskaya Gavan,RU,48.9723,140.2878,-10.26,91,11,5.1,few clouds
155,Ugoofaaru,MV,5.6667,73.0,79.97,73,100,8.75,overcast clouds
156,Labuhan,ID,-6.8844,112.2051,75.65,90,100,5.95,light rain
157,Clarence Town,AU,-32.5833,151.7833,72.95,49,0,5.26,clear sky
158,Itanhem,BR,-17.1664,-40.33,87.78,47,9,6.17,clear sky
159,Saint-Philippe,RE,-21.3585,55.7679,78.39,87,83,15.01,light rain
160,Kavieng,PG,-2.5744,150.7967,81.66,75,100,5.84,light rain
161,Kodiak,US,57.79,-152.4072,24.31,86,40,4.61,scattered clouds
162,Quchan,IR,37.106,58.5095,37.53,69,1,5.97,clear sky
163,Bambous Virieux,MU,-20.3428,57.7575,79.21,83,40,2.3,light rain
164,North Bend,US,43.4065,-124.2243,48.07,87,0,9.22,clear sky
165,Hong Gai,VN,20.956,107.0946,69.71,94,100,6.6,overcast clouds
166,Cockburn Town,TC,21.4612,-71.1419,76.84,69,38,17.09,scattered clouds
167,Ust-Karsk,RU,52.7011,118.8077,-24.38,100,68,1.95,broken clouds
168,Fairbanks,US,64.8378,-147.7164,10.6,87,100,0.0,light snow
169,Borjomi,GE,41.8527,43.4128,29.62,96,100,3.27,light snow
170,College,US,64.8569,-147.8028,10.58,83,100,0.0,mist
171,Weimar,DE,50.9833,11.3167,38.59,87,100,1.01,light rain
172,Jumla,NP,29.2747,82.1838,38.84,30,3,4.83,clear sky
173,Killybegs,IE,54.6333,-8.45,49.71,86,100,24.65,overcast clouds
174,Lata,PT,40.1629,-8.3327,54.81,74,0,2.73,clear sky
175,Klaksvik,FO,62.2266,-6.589,41.92,96,100,25.81,light rain
176,Westport,US,41.1415,-73.3579,40.62,43,0,11.01,clear sky
177,Phalaborwa,ZA,-23.943,31.1411,78.08,48,64,5.35,broken clouds
178,Pisco,PE,-13.7,-76.2167,82.45,61,0,21.85,clear sky
179,Yulara,AU,-25.2406,130.9889,67.77,40,0,7.96,clear sky
180,Kloulklubed,PW,7.0419,134.2556,79.3,74,100,20.38,overcast clouds
181,Mbanza-Ngungu,CD,-5.25,14.8667,73.78,78,100,2.15,overcast clouds
182,Sosua,DO,19.7667,-70.5167,85.98,74,40,17.27,scattered clouds
183,Lorengau,PG,-2.0226,147.2712,79.63,79,86,1.19,overcast clouds
184,Khani,GE,41.9563,42.9566,29.77,96,100,2.37,overcast clouds
185,Mayo,US,38.8876,-76.5119,43.09,53,0,11.5,clear sky
