CityID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
251,Kununurra,AU,76.98,overcast clouds,-15.7667,128.7333,Kununurra Country Club Resort
253,Dubti,ET,86.72,clear sky,11.7361,41.0853,No hotel found
255,Pacasmayo,PE,77.74,scattered clouds,-7.4006,-79.5714,Playa Linda
261,Fare,PF,81.1,clear sky,-16.7,-151.0167,hôtel Maitai Lapita Village
264,Isabela,PH,76.91,overcast clouds,6.7085,121.9711,No hotel found
270,Formiga,BR,76.68,overcast clouds,-20.4644,-45.4264,Victor Plaza
276,Trairi,BR,84.13,broken clouds,-3.2778,-39.2689,No hotel found
277,Nha Trang,VN,77.0,overcast clouds,12.25,109.1833,Den Long Đỗ
285,Mana,GF,78.64,overcast clouds,5.6592,-53.7767,Le Samana
288,Coffs Harbour,AU,75.16,clear sky,-30.3,153.1333,The Coast Hotel
292,Sao Jose Da Coroa Grande,BR,82.36,broken clouds,-8.8978,-35.1478,Hotel do Sol
296,Sao Joao Da Barra,BR,87.89,overcast clouds,-21.6403,-41.0511,Pousada Mediterrâneo
312,San Policarpo,PH,79.27,clear sky,12.1791,125.5072,No hotel found
313,Acapulco,MX,85.82,clear sky,16.8634,-99.8901,Hotel del Valle
317,Antofagasta,CL,76.28,few clouds,-23.65,-70.4,Hotel Colón
325,Samarai,PG,81.27,moderate rain,-10.6167,150.6667,No hotel found
333,Kulhudhuffushi,MV,80.17,overcast clouds,6.6221,73.07,No hotel found
337,Kupang,ID,77.11,light rain,-10.1667,123.5833,BIB & LANG GUEST HOUSE
339,Senador Guiomard,BR,83.95,overcast clouds,-10.1522,-67.7392,Paraíso
341,El Tigre,VE,89.22,few clouds,8.8875,-64.2454,Hotel La Llovizna
342,Vao,NC,79.65,broken clouds,-22.6667,167.4833,Nataiwatch
346,Geraldton,AU,79.21,clear sky,-28.7667,114.6,Ocean Centre Hotel
350,Aripuana,BR,84.49,light rain,-9.1667,-60.6333,No hotel found
352,Bonthe,SL,80.4,overcast clouds,7.5264,-12.505,No hotel found
354,Rio Grande,BR,82.51,light rain,-32.035,-52.0986,Hotel Vila Moura Executivo
360,Carupano,VE,80.44,clear sky,10.6678,-63.2585,Hotel El Yunque
366,Cam Ranh,VN,76.96,broken clouds,11.9214,109.1591,Khách sạn Thái Bình
367,Guarapari,BR,84.88,broken clouds,-20.6667,-40.4975,Osmar Hotel
